Plot,Acalypha,Aegiphila,Aequatorium,Agouticarpa,Aiouea,Alchornea,Allophylus,Alsophila,Alsophyla,Andira,Aniba,Annona,Aphelandra,Ardisia,Axinaea,Bactris,Banara,Beilschmiedia,Bellucia,Billia,Blakea,Boehmeria,Brachyotum,Brosimum,Brownea,Browneopsis,Brunellia,Bunchosia,Calatola,Calyptranthes,Capparidastrum,Carapa,Carica,Casearia,Castilla,Cavendishia,Cecropia,Cedrela,Ceroxylon,Cestrum,Chamaedorea,Chrysochlamys,Chrysophyllum,Cinchona,Cinnamomum,Citharexylum,Citronella,Citrus,Clarisia,Clavija,Cleome,Clethra,Clusia,Coccoloba,Compsoneura,Conostegia,Cordia,Cordiera,Cornus,Coussapoa,Coussarea,Critoniopsis,Croton,Cuatresia,Cupania,Cyathea,Cybianthus,Dacryodes,Daphnopsis,Delostoma,Dendropanax,Dendrophorbium,Dicksonia,Discophora,Duroia,Dussia,Elaeagia,Endlicheria,Erythrina,Erythroxylum,Escallonia,Eschweilera,Eugenia,Faramea,Ficus,Freziera,Gaiadendron,Garcinia,Geissanthus,Geonoma,Gloeospermum,Gordonia,Graffenrieda,Grias,Guapira,Guarea,Guatteria,Guettarda,Gustavia,Handroanthus,Haydenoxylon,Hedyosmum,Heisteria,Helicostylis,Heliocarpus,Henriettea,Hieronyma,Hippotis,Hirtella,Huertea,Idiopappus,Ilex,Indet.,Indeterminada,Indeterminado,Inga,Iochroma,Iriartea,Jacaratia,Juglans,Licania,Licaria,Lozanella,Lozania,Macrolobium,Magnolia,Matisia,Maytenus,Meliosma,Meriania,Miconia,Monnina,Morus,Myrcia,Myrcianthes,Myriocarpa,Myrsine,Naucleopsis,Nectandra,Neea,Ochroma,Ocotea,Oreopanax,Ossaea,Otoba,Palicourea,Panopsis,Pentagonia,Persea,Pholidostachys,Phragmotheca,Phytelephas,Piper,Pittoniotis,Pleurothyrium,Posoqueria,Poulsenia,Pourouma,Pouteria,Prestoea,Protium,Prunus,Pseudolmedia,Psychotria,Randia,Rauvolfia,Rhodostemonodaphne,Richeria,Roupala,Ruagea,Salacia,Sapium,Saurauia,Schefflera,Sessea,Simarouba,Siparuna,Sloanea,Socratea,Solanum,Sorocea,Sphaeropteris,Spirotheca,Stylogyne,Styrax,Swartzia,Symplocos,Tabernaemontana,Tapirira,Tetrorchidium,Theobroma,Tournefortia,Tovomita,Trema,Trichilia,Trichospermum,Triplaris,Turpinia,Urera,Vallea,Varronia,Verbesina,Vernonanthura,Viburnum,Virola,Vismia,Weinmannia,Wettinia,Xanthosoma,Zanthoxylum
BECL_01,,2,,,,,,,,,,,1,,25,,,1,,,,,,,,,,,,,,,,,,,,,,4,2,4,,,,1,5,,,,,1,1,,,,,,1,,,,14,,,72,,,,,,,,,,,,,2,,,,,,,1,,,16,,,,,,,2,,,,,,3,,,,,5,,,1,,,,,,,,,,,,,1,,,,,,2,7,97,,,,1,,,,6,,,1,2,,,1,,,,,,,,,,,,,,4,,,,,,,2,,,,,3,19,,,,2,,,1,,5,,,,,,,,,,,,,,,,1,,,,,,,,,12,,,1
BECL_03,,8,,,,,,2,1,,,,,6,,,,,,,,,,,,,,,,1,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,3,21,,,65,,,,,,,,,,1,,,,,,,,1,,,,,5,,,,2,,,4,,,,,,,,,,,,,,,,,,,,1,15,,,1,,,,,,,,,,13,30,,1,,,,,,8,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,4,19,,,,12,,,,,2,,,,,,,,10,,,,,1,,,2,,,,,,,,,,,,1
CEDR_01,,,,,1,,,,,,,,,8,23,,,4,,,,,,,,,4,,,,,,,9,,,,,,,,2,,,,,,,,,,,30,,,,,,8,,,2,,,,11,,,,1,,1,,,,1,,,3,,,,,,1,,,,14,1,,,,,,12,,,,,6,6,,,,,22,,,,,,,8,,,3,,,,,,,,,,,,11,95,24,,1,4,4,1,5,,,,,7,3,,,23,,,2,,,,10,,1,,,,,,,2,,,,,,,,6,,16,10,,,,7,,,,,,,,,,1,,,,,,,,,,,9,2,,,4,,,,,52,,,
CEDR_03,,,,,,12,3,,,,,,,1,,,2,23,,20,5,,,,,,,,,,,,,4,,,,,,,,22,,12,,,2,,,,,,1,,,,,,,,,27,1,,,19,,,,,,,,,,1,,2,5,,,,,19,7,,,,1,1,,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,13,28,,14,3,,4,,,26,,,2,6,1,,30,,,,,,,,,,,,,,1,,4,,,,,,,,4,,5,2,,,,,,,,,,,,,,,,,,,,,3,,,,8,,,5,,,,,,8,,,
INTI_01,,2,,,2,,1,1,,,,,,,,,,1,,,,10,,,,,,1,,,,,,1,,,2,2,10,2,,2,,10,,,,,,3,,,,,,,21,,,,,13,,20,,7,,,,,8,,,,,,8,,,,,,,,7,,,,,,,,,,,1,,,,,,5,,,,,3,,,,,,,,,11,,,,,,,,,,,,,2,4,1,,8,,,,,,39,,,27,,,,7,,,,,,,41,2,,,,,,113,,,,,,,,,,,1,19,6,,,,,,,2,,,,,,,2,,,4,,,10,,,,,,,,,1,,,,,,,,
INTI_02,,4,,,5,,,3,,,,,,,,,,,,,,2,,,,,,4,,,,1,1,1,,,4,,8,2,,2,,3,,,,,,8,,,2,,,,40,,,,,10,,17,,3,,,,,,,,,,1,16,,,,,,,,11,,,,,,,,,,,,1,,,,,2,,,,,4,,,1,,,,2,,10,,,,,,,2,,,,,,3,1,1,,,7,1,,,,35,,,10,,1,,9,,,1,,,,16,2,,,,,,272,,,,4,,,,,,3,,17,4,,,,1,,,3,,,,,,,2,,,4,,,1,,1,,,,,,,,,,,,,,,
MALO_01,,,,,,1,8,,,1,,1,,2,,,,,,,,,,,,,,,31,1,,,,,,,6,,,,,1,1,,,,,,,,,,,1,,1,5,2,,,16,8,4,,,,,6,,,,,,,,1,,,,,,13,9,10,6,,,1,2,,,,2,,,6,1,,5,,1,1,,2,,6,3,,,1,,,,1,4,5,,,,,7,,,,7,,11,,2,,11,,,,,,,6,1,1,,27,,4,9,5,1,1,,17,,,2,,,2,,,,1,11,,,5,,,,9,,,10,2,3,,,1,,,4,,,,,2,,,,1,,8,,,2,,,,,1,,,,,,,2,,,28,,1
MALO_02,,,,3,2,,,,,,,1,,,,5,,1,11,,1,,,5,1,20,,,,,,6,,1,,,,,,,,1,,,,,,,,,,,,4,,5,2,,,,9,,4,,,1,,4,1,,,,,2,2,2,,,,1,,16,30,31,1,,,3,1,,2,,,3,,15,1,,6,,,3,4,,,9,4,1,1,1,,,1,,,26,,,,,8,1,,,,2,30,,,,15,,,4,,,,13,,,,21,,1,16,1,,1,,6,2,,2,,,,,,3,,3,,2,,,,1,2,,1,1,,,,,1,1,,1,,2,,,,,2,,,,2,,,2,,1,,,,,,,,,,11,,,3,,
MAPI_01,1,17,,,,1,2,2,,,,,,,,,,,,,,,,2,,,,2,,,,,,1,16,,3,,,,,,1,,,,,,1,,,,,2,,32,1,,,3,,,,,,1,,3,,,,,,,,2,,,,,,,,,4,,,,2,,,,,3,1,,1,2,,5,,,,,,,,,,,,,,,,23,,11,3,,,,,,,,,,,,11,,,,,,,,1,,2,1,,,6,9,,,,1,,,3,,,,1,5,,,,,,1,1,,3,,,,,1,6,,,,,2,,,2,,,,,,,,1,,6,,,1,1,,4,,,,,,,,8,,,141,,
MAPI_02,,2,,,,1,1,,,,,1,,,,6,,,,,,,,20,,,,,,,,9,,5,1,,2,,,2,,,1,,,,,,,,,,,,,17,,,,1,,,,,,5,,44,,,2,,,,,4,,,,,,2,,1,3,,,,1,,,,2,2,,8,1,,,,,,,,,,,,,,,,,1,,20,,,2,,,,,1,,,9,,,,8,,,,,,,1,8,,1,1,,,41,8,,,,3,,,1,,4,,,20,,5,,,1,,1,3,1,,,,,,,,,,,,,,2,,,,1,,,,,2,24,,1,,2,1,,4,,,,,,,9,,,45,,1
MIND_01,1,,,,1,,,7,,,,2,,3,,,,8,,,3,,,,,,,,,,4,,,1,,,7,,,,1,14,,,1,,,,,,,,,,,,1,,,8,,2,,,1,12,,15,,,28,,,,,2,,,,,,,,31,3,,,,,,,,1,,,,1,,,,,48,24,,4,,4,,,6,,,1,,,14,,,,,,,,,,,,,6,1,9,,,5,1,,,,15,,3,14,,,,8,,,11,,,8,18,,1,,,,,,,1,,,,,,,3,,,3,40,,,2,,,,2,,,3,,,,,,,1,,,5,1,,,,3,,,,,,,,,3,,,1
RIBR_01,,2,,,1,8,3,10,1,,1,7,,,2,,34,,,,,,,,,,,,2,,,,,1,,,4,,,,,,,,,,,1,,3,,,1,,,,,,4,,,6,,1,,33,3,,,,1,,,,,1,,,4,,,2,9,3,3,,,,6,,,,,,,7,3,,,,1,94,3,,,,3,,,,,5,,,,14,,,,,,,,,,,,1,3,7,130,,3,6,2,,,,2,,,15,2,,6,2,,,11,,,,,,,,,,,5,,,,1,,,,,,,,6,24,,,,,,,,1,26,,2,,,,,,,,,,,,,,1,,,,,,,,7,,,,4
VERD_01,,15,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,2,,,,152,,,,,,,,,,,,,,,3,,,,,,,,130,,,,,,,,,,,,,64,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,63,,,,14,,,,,,,8,3,,,,,,,,,,12,,,,,,,,,22,,,,,,,,,,,3,12,,,,,,2,,,,,,,48,,,,,3,,,,,,,,,,11,,23,,,11,,,
VERD_02,,37,,,,,,,,,,,,,2,,7,,,,,14,,,,,1,,,,,,,,,,,,,8,,,,,,17,,,,,,2,,,,,,,,,,2,,,,9,,,,,,12,3,,,,,,,,,,,,,25,,,3,,,1,,,,,,,,,,61,,,,,,,,,1,4,,1,,,,,,,,,7,,,,,,3,,31,,,,1,,,,,,,1,31,,,11,,,,,,,4,,,,,,,,,3,,,,,,,,1,,2,76,1,3,,6,,,,,,,,1,,1,,,,,,,,,,,8,,,,42,,,,,34,,,
VERD_03,,7,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,5,,,,,,2,,,,,,,,,,,,,,6,2,,42,,,,,,,1,,,,,,54,,,,,,,,,,8,,,,,,,,,,,,,,,,,24,,20,,,,10,,,,,,,20,5,,,45,,,,,,,18,,,,,,,,,12,,,,,,,,3,,2,65,,,,26,,,,,,,,,,1,,,1,,17,,,,,,4,,1,,2,,35,,,16,,,
YANA_01,,,4,,,,,,,,,,,,31,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,18,,,,,,,,,,,,2,,,,,,,,,,15,,,,,,,,
