"","BECL_01","BECL_03","CEDR_01","CEDR_03","INTI_01","INTI_02","MALO_01","MALO_02","MAPI_01","MAPI_02","MIND_01","RIBR_01","VERD_01","VERD_02","VERD_03","YANA_01"
"BECL_01",0,0.153183377076478,0.197692449092581,0.175573308054978,0.474652821116482,0.0561209471742905,0.442524187959516,0.140363208752909,0.163331146173941,0.348713418699306,0,0.236808133736739,0.365156435225812,0.513709557882745,0.282556471642858,0.246302268145208
"BECL_03",0.153183377076478,0,0,0,0.299351706446728,0,0.148445666261992,0.106898757244904,0.105371092618375,0,0,0,0,0.123761677273325,0,0.183716823645153
"CEDR_01",0.197692449092581,0,0,0,0.286464002486348,0.306745616496644,0.362096160707349,0.465293640907383,0.180976719296785,0.351841882383332,0.144229488638375,0.0783879603818891,0,0.213632635160477,0.16388001593853,0.118810711796088
"CEDR_03",0.175573308054978,0,0,0,0.215492697628499,0.0770543319210135,0.289731491495556,0.356407818725502,0.220947201766823,0.341627105593465,0.163191794997075,0,0,0.160596872707562,0,0
"INTI_01",0.474652821116482,0.299351706446728,0.286464002486348,0.215492697628499,0,0.142789527893001,0.201443824594528,0.248695842513338,0.188285044992672,0.247224807809885,0.274451048843857,0.325604820011687,0.154701736560455,0.275596040562784,0.435089586378406,0.330382178562898
"INTI_02",0.0561209471742905,0,0.306745616496644,0.0770543319210135,0.142789527893001,0,0.263511042439302,0.146483934295538,0,0.151527517992966,0,0,0.138247582990091,0.13649445265971,0.187952601788672,0.190475877490592
"MALO_01",0.442524187959516,0.148445666261992,0.362096160707349,0.289731491495556,0.201443824594528,0.263511042439302,0,0.12739179175141,0.238713913300305,0.125562379719119,0.258552196318647,0.376546393277797,0.398085796122116,0.418056899738968,0.460279588004329,0.495694122774017
"MALO_02",0.140363208752909,0.106898757244904,0.465293640907383,0.356407818725502,0.248695842513338,0.146483934295538,0.12739179175141,0,0,0,0.150171402598721,0.377376028037026,0.318497071676831,0.550697066890712,0.451422562109975,0.466415178635075
"MAPI_01",0.163331146173941,0.105371092618375,0.180976719296785,0.220947201766823,0.188285044992672,0,0.238713913300305,0,0,0.128428066402434,0.128348589999491,0.257876253953627,0.225234744113114,0.280186285082423,0.332770149876238,0.346524959938847
"MAPI_02",0.348713418699306,0,0.351841882383332,0.341627105593465,0.247224807809885,0.151527517992966,0.125562379719119,0,0.128428066402434,0,0.151651982612114,0.343457704928146,0.318209792982431,0.433979931088663,0.395400667573323,0.366527385794385
"MIND_01",0,0,0.144229488638375,0.163191794997075,0.274451048843857,0,0.258552196318647,0.150171402598721,0.128348589999491,0.151651982612114,0,0,0.310428653517839,0.260821000154626,0.171879182384825,0.192742146570549
"RIBR_01",0.236808133736739,0,0.0783879603818891,0,0.325604820011687,0,0.376546393277797,0.377376028037026,0.257876253953627,0.343457704928146,0,0,0.218823229435456,0.285662210236737,0,0
"VERD_01",0.365156435225812,0,0,0,0.154701736560455,0.138247582990091,0.398085796122116,0.318497071676831,0.225234744113114,0.318209792982431,0.310428653517839,0.218823229435456,0,0.17203667506322,0.204342179267715,0.259375142266854
"VERD_02",0.513709557882745,0.123761677273325,0.213632635160477,0.160596872707562,0.275596040562784,0.13649445265971,0.418056899738968,0.550697066890712,0.280186285082423,0.433979931088663,0.260821000154626,0.285662210236737,0.17203667506322,0,0.272533071758349,0.326141557255174
"VERD_03",0.282556471642858,0,0.16388001593853,0,0.435089586378406,0.187952601788672,0.460279588004329,0.451422562109975,0.332770149876238,0.395400667573323,0.171879182384825,0,0.204342179267715,0.272533071758349,0,0
"YANA_01",0.246302268145208,0.183716823645153,0.118810711796088,0,0.330382178562898,0.190475877490592,0.495694122774017,0.466415178635075,0.346524959938847,0.366527385794385,0.192742146570549,0,0.259375142266854,0.326141557255174,0,0
