PLOT,AGC,AGCnc,AGCp ,PCA1_temp,AP,PC1.p,PC2.p,C_N,N,C,S
ECPI_BECL_01,73.64,3.11,3.55,-0.774,1595,0.628628359,0.189244129,13.69,0.24666667,3.12166667,0.10166667
ECPI_BECL_03,63.28,1.23,1.8,-0.7261,1595,0.628628359,0.189244129,12.49,0.425,5.1,0.11833333
ECPI_CEDR_01,84.89,0.21,1.81,-0.6679,1471,0.332718426,0.546342906,13.73,0.48,6.55166667,0.11333333
ECPI_CEDR_03,99.6,1.33,3.1,-0.3871,1351,0.251821993,0.562121791,13.66,0.645,8.975,0.10166667
ECPI_INTI_01,93.61,1.58,1.66,0.4948,2076,0.563811778,0.399114565,12.7,0.49833333,6.27166667,0.13333333
ECPI_INTI_02,66.79,0.97,1.65,0.485,1939,0.563811778,0.399114565,11.88,0.49,5.86333333,0.09833333
ECPI_MALO_01,96.58,0.92,2.87,2.9606,2255,0.969310256,0.13796746,13.84,0.40833333,5.64833333,0.12
ECPI_MALO_02,157.57,2.42,2.77,3.1974,2253,0.998411422,0.153812048,13.87,0.54166667,7.91833333,0.14833333
ECPI_MAPI_01,84.8,2.03,3.04,3.8211,2075,0.705064444,0.209005069,11.31,0.44166667,5.03333333,0.10833333
ECPI_MAPI_02,80.07,1.69,2.11,3.8211,2111,0.705064444,0.209005069,11.16,0.54,6.155,0.14166667
ECPI_MIND_01,91.79,1.71,2.56,2.3331,2704,0.451773771,0.158583872,14.53,0.55166667,8.15666667,0.165
ECPI_RIBR_01,67.83,1.24,3.54,1.0413,2347,0.536938735,0.002911762,13.09,0.31,3.995,0.085
ECPI_VERD_01,69.26,0.19,1.7,-4.4778,1271,0.14856364,0.233606648,13.78,0.39666667,5.45833333,0.10166667
ECPI_VERD_02,46.57,0.37,0.7,-3.2033,1251,0.188004732,0.158562497,17.9,0.30666667,5.235,0.09166667
ECPI_VERD_03,46.43,0.38,0.77,-3.2556,1251,0.188004732,0.158562497,14.37,0.40166667,5.895,0.08666667
ECPI_YANA_01,75.42,-0.13,1.08,-4.6629,1337,0.138580699,0.301631447,13.24,0.185,2.31666667,0.10166667
