Plot,sp_richn,fdis,feve,fric,fdiv,fide_PC1,fide_PC2,fide_PC3,Hill_numbers
BECL_01,13,0.121279046,0.626884,0.004463619,0.692421717,0.098940935,0.044029218,0.035070837,1.996331858
BECL_03,16,0.219709383,0.591973,0.013417816,0.727486255,0.131504509,0.016457648,0.015376752,3.754112464
CEDR_01,19,0.145961387,0.369151,0.007310067,0.729381244,0.029358415,0.073020492,0.032873679,2.342864996
CEDR_03,20,0.155358788,0.685505,0.007885979,0.642715743,-0.022568168,0.025431097,0.01539328,2.68890688
INTI_01,20,0.257406341,0.614461,0.081536171,0.645203982,0.012064782,-0.059054517,-0.036984298,4.892519878
INTI_02,25,0.231323852,0.672253,0.016269792,0.768627125,-0.009372037,-0.084192273,-0.002609753,4.197069544
MALO_01,30,0.291162851,0.698666,0.136534786,0.735543087,0.076042793,-0.076155716,-0.045289684,6.012931593
MALO_02,33,0.236228044,0.649769,0.035333351,0.672008072,0.1003056,-0.054402738,-0.002759036,4.462357592
MAPI_01,35,0.227715727,0.71954,0.061911932,0.711502923,0.042315409,-0.134526821,-0.01393265,5.541208127
MAPI_02,17,0.258855214,0.725099,0.032352981,0.749662612,0.179806391,-0.071245055,-0.052820368,5.346781693
MIND_01,25,0.200880443,0.720439,0.009046018,0.744045009,0.030255574,0.007669901,0.016829308,2.966402337
RIBR_01,19,0.117105804,0.793927,0.004375528,0.761836413,-0.016985848,0.09907317,0.004901977,2.095041214
VERD_01,12,0.144371936,0.680459,0.005374211,0.610940649,-0.065870055,0.179555011,0.033012427,2.22046067
VERD_02,11,0.193025222,0.601557,0.002359999,0.574422496,-0.088523541,0.022353409,0.019809723,2.755152193
VERD_03,11,0.098663146,0.75323,0.001275229,0.673180658,-0.043444629,0.160073043,0.028319954,1.849267878
YANA_01,7,0.09720485,0.781926,0.000331745,0.869716489,0.017890031,0.127974698,0.038219308,1.636021697
