Plot,Elevation,Hill_Diversity,Rarefaction,Evenness,Chao1,SE_Chao1,Richness
BECL_01,2313,31.12820322,38.99309367,0.903183372,52.58333333,5.446731871,45
BECL_03,2203,28.76248284,40.11415574,0.898707538,80.25,25.60013111,42
CEDR_01,2492,44.50108997,49.91517271,0.912628128,91.14285714,16.50001334,64
CEDR_03,2212,38.01577853,46.48727232,0.920723083,59.5,6.348936809,52
INTI_01,1879,44.14003436,46.57169573,0.921304643,80.25,10.8673456,61
INTI_02,1829,51.99482581,47.43264155,0.92091401,104.2307692,15.48381808,73
MALO_01,1018,76.98875297,78.3528979,0.941180047,168.5625,27.05195568,101
MALO_02,827,80.77756023,82.75255911,0.934308595,175.3333333,25.3947707,110
MAPI_01,653,49.5155957,59.88268585,0.898356926,123.8666667,20.51538797,77
MAPI_02,632,52.74247453,62.52237406,0.904928571,143.9090909,29.02926043,80
MIND_01,1277,62.87104558,66.63923102,0.918025872,142.25,21.62648995,91
RIBR_01,1640,62.4938694,60.29397702,0.928321971,105.8947368,9.912436711,86
VERD_01,3421,23.10441452,26.5461312,0.914395866,31,0.098373875,31
VERD_02,2932,36.58882405,39.80274718,0.911040446,69,10.98992869,52
VERD_03,3109,27.76519572,32.95546325,0.907254635,41.625,2.825893384,39
YANA_01,3507,10.89027056,17,0.842813262,19,2.5782491,17
