"","sp_richn","fdis","feve","fric","fdiv","fide_PC1","fide_PC2","fide_PC3","Hill_numbers"
"BECL_01",13,0.121279045977801,0.626884,0.00446361883333609,0.692421716510254,0.0989409351124333,0.0440292183726527,0.035070836545639,1.99633185785205
"BECL_03",16,0.219709383233262,0.591973,0.0134178164765157,0.727486254577512,0.131504508510926,0.0164576479770281,0.0153767521661806,3.75411246417184
"CEDR_01",19,0.145961387437741,0.369151,0.00731006725275285,0.729381243861516,0.0293584148172369,0.0730204916839646,0.0328736793979532,2.34286499623704
"CEDR_03",20,0.155358788224575,0.685505,0.00788597885696126,0.642715743484941,-0.0225681681453925,0.0254310965184248,0.0153932802643017,2.68890687971444
"INTI_01",20,0.257406340932596,0.614461,0.0815361710097466,0.64520398154206,0.0120647816248763,-0.0590545166987475,-0.0369842980145671,4.89251987784239
"INTI_02",25,0.231323851524266,0.672253,0.0162697920203836,0.768627124799143,-0.0093720367300295,-0.0841922731697373,-0.00260975290740461,4.19706954400875
"MALO_01",30,0.291162851008423,0.698666,0.136534786352363,0.735543086561062,0.0760427928943165,-0.0761557155520886,-0.0452896842305319,6.01293159332101
"MALO_02",33,0.236228044310493,0.649769,0.0353333508645821,0.672008072245242,0.100305599513685,-0.0544027382841366,-0.00275903613920778,4.46235759226951
"MAPI_01",35,0.227715727320492,0.71954,0.0619119318117691,0.711502923318668,0.0423154090513517,-0.13452682137679,-0.0139326500125018,5.54120812692843
"MAPI_02",17,0.258855214123474,0.725099,0.0323529805962161,0.749662611651546,0.179806391098877,-0.071245055186289,-0.0528203680536369,5.34678169319272
"MIND_01",25,0.200880443414992,0.720439,0.00904601783914255,0.744045009375472,0.0302555740406455,0.00766990063305882,0.0168293077301765,2.96640233731405
"RIBR_01",19,0.117105803502938,0.793927,0.00437552838574085,0.761836413133038,-0.0169858484556773,0.099073169656964,0.00490197690462971,2.09504121390406
"VERD_01",12,0.144371935706306,0.680459,0.00537421081356505,0.610940649299588,-0.065870054765558,0.179555011024405,0.0330124268304819,2.22046066994035
"VERD_02",11,0.193025222359734,0.601557,0.00235999933037521,0.57442249596015,-0.088523541470435,0.0223534090229452,0.0198097229457433,2.75515219298986
"VERD_03",11,0.0986631462737411,0.75323,0.00127522885543821,0.673180658413885,-0.0434446292746404,0.160073042621269,0.0283199536755135,1.84926787840567
"YANA_01",7,0.0972048500994638,0.781926,0.000331744902477019,0.869716489103772,0.0178900313197461,0.127974697524998,0.0382193079251864,1.63602169652944
