"","Observed_values","Null_values","Z_score","CI_low","CI_high"
"632-653",0.95026029575147,0.938953872397342,-6.12907553197962,0.93636952333723,0.941538221457455
"653-827",0.957957596472528,0.940862706511135,-2.52303171782546,0.938542462060672,0.943182950961596
"827-1018",0.960477536969868,0.938125119362709,-8.9661653748488,0.935671572407161,0.940578666318258
"1018-1277",0.975915683505887,0.939870771415624,-2.56356567397828,0.937490991664898,0.94225055116635
"1277-1640",0.883318000106339,0.940205892138657,-3.7955440270028,0.937684887942556,0.942726896334757
"1640-1829",0.938013203542192,0.93860104675194,-3.56556434773424,0.936052831987622,0.94114926151626
"1829-1879",0.920716649960536,0.939550908417613,-13.6919919877172,0.937053601075091,0.942048215760135
"1879-2203",0.929853046535036,0.937879848341603,-1.96829186509909,0.935424143905083,0.940335552778124
"2203-2212",0.973870651758392,0.94023869330591,-2.66000822642635,0.937873941628651,0.942603444983172
"2212-2313",0.987744431189032,0.941742983582834,-2.53266294477828,0.939318011721406,0.944167955444264
"2313-2492",0.969864489484895,0.939622837919296,-4.28214316101477,0.937196048766162,0.94204962707243
"2492-2932",0.93131420777888,0.93789841443683,-4.03239950399172,0.935413519648342,0.940383309225318
"2932-3109",0.985016339157203,0.93839300255862,-13.0256946065925,0.935770167719282,0.941015837397958
"3109-3421",0.910412455187416,0.937361939151282,-6.55431996500821,0.934793080711487,0.939930797591077
"3421-3507",0.982026987864357,0.939993550276716,-5.34704435269163,0.93742425960459,0.94256284094884
