"","Elevation","Hill_Diversity","Rarefaction","Evenness","Chao1","SE_Chao1","Richness"
"BECL_01",2313,31.1282032176701,38.9930936696538,0.903183372141014,52.5833333333333,5.44673187104858,45
"BECL_03",2203,28.7624828420597,40.1141557374073,0.89870753754996,80.25,25.6001311111658,42
"CEDR_01",2492,44.5010899691691,49.9151727145907,0.912628127909595,91.1428571428571,16.5000133430465,64
"CEDR_03",2212,38.0157785299472,46.487272323933,0.920723082939305,59.5,6.3489368085877,52
"INTI_01",1879,44.1400343603555,46.571695729725,0.921304643345031,80.25,10.8673455986862,61
"INTI_02",1829,51.994825813063,47.4326415528623,0.920914010313568,104.230769230769,15.4838180842697,73
"MALO_01",1018,76.988752974639,78.3528979009096,0.941180047210041,168.5625,27.0519556832486,101
"MALO_02",827,80.777560230304,82.752559106245,0.934308595137252,175.333333333333,25.3947707009571,110
"MAPI_01",653,49.51559570082,59.882685853062,0.898356925699945,123.866666666667,20.5153879721642,77
"MAPI_02",632,52.7424745311504,62.5223740555049,0.904928570694867,143.909090909091,29.029260433035,80
"MIND_01",1277,62.8710455752494,66.6392310214035,0.918025872236543,142.25,21.6264899463195,91
"RIBR_01",1640,62.4938694034915,60.2939770211259,0.928321971181968,105.894736842105,9.91243671123818,86
"VERD_01",3421,23.1044145226558,26.5461311951381,0.914395866136371,31,0.0983738753675929,31
"VERD_02",2932,36.5888240451651,39.8027471834245,0.91104044604782,69,10.9899286898822,52
"VERD_03",3109,27.7651957177542,32.9554632543139,0.907254634915684,41.625,2.82589338396872,39
"YANA_01",3507,10.8902705626923,17,0.842813262440936,19,2.578249099884,17
